scope,column,family,visit,unit,role,n_patients,n_valid_patients,n_missing_patients,missingness_fraction,missingness_pct,patient_coverage_fraction,patient_coverage_pct,missingness_type,coverage_basis,possible_leakage_concern
mri_matched_reference,VOLUME_TUM_BLU_V30,FTV,T2,cc,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Unavailable before T2; using it earlier is future-visit leakage. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
source_workbook,VOLUME_TUM_BLU_V40,FTV,T3,cc,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
complete4_mri_cohort,VOLUME_TUM_BLU_V40,FTV,T3,cc,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
mri_matched_reference,VOLUME_TUM_BLU_V40,FTV,T3,cc,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
source_workbook,SPHERICITY_T0,SPH,T0,dimensionless,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Pretreatment-only value; still fit every transform on outer train. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
complete4_mri_cohort,SPHERICITY_T0,SPH,T0,dimensionless,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Pretreatment-only value; still fit every transform on outer train. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
mri_matched_reference,SPHERICITY_T0,SPH,T0,dimensionless,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Pretreatment-only value; still fit every transform on outer train. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
source_workbook,SPHERICITY_T1,SPH,T1,dimensionless,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Unavailable before T1; using it earlier is future-visit leakage. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
complete4_mri_cohort,SPHERICITY_T1,SPH,T1,dimensionless,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Unavailable before T1; using it earlier is future-visit leakage. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
mri_matched_reference,SPHERICITY_T1,SPH,T1,dimensionless,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Unavailable before T1; using it earlier is future-visit leakage. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
source_workbook,SPHERICITY_T2,SPH,T2,dimensionless,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Unavailable before T2; using it earlier is future-visit leakage. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
complete4_mri_cohort,SPHERICITY_T2,SPH,T2,dimensionless,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Unavailable before T2; using it earlier is future-visit leakage. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
mri_matched_reference,SPHERICITY_T2,SPH,T2,dimensionless,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Unavailable before T2; using it earlier is future-visit leakage. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
source_workbook,SPHERICITY_T3,SPH,T3,dimensionless,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
complete4_mri_cohort,SPHERICITY_T3,SPH,T3,dimensionless,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
mri_matched_reference,SPHERICITY_T3,SPH,T3,dimensionless,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
source_workbook,LD_T0,LD,T0,not declared in workbook,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,"Pretreatment-only value; still fit every transform on outer train. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
complete4_mri_cohort,LD_T0,LD,T0,not declared in workbook,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,"Pretreatment-only value; still fit every transform on outer train. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
mri_matched_reference,LD_T0,LD,T0,not declared in workbook,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,"Pretreatment-only value; still fit every transform on outer train. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
source_workbook,LD_T1,LD,T1,not declared in workbook,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,"Unavailable before T1; using it earlier is future-visit leakage. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
complete4_mri_cohort,LD_T1,LD,T1,not declared in workbook,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,"Unavailable before T1; using it earlier is future-visit leakage. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
mri_matched_reference,LD_T1,LD,T1,not declared in workbook,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,"Unavailable before T1; using it earlier is future-visit leakage. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
source_workbook,LD_T2,LD,T2,not declared in workbook,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,"Unavailable before T2; using it earlier is future-visit leakage. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
complete4_mri_cohort,LD_T2,LD,T2,not declared in workbook,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,"Unavailable before T2; using it earlier is future-visit leakage. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
mri_matched_reference,LD_T2,LD,T2,not declared in workbook,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,"Unavailable before T2; using it earlier is future-visit leakage. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
source_workbook,LD_T3,LD,T3,not declared in workbook,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,"Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
complete4_mri_cohort,LD_T3,LD,T3,not declared in workbook,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,"Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
mri_matched_reference,LD_T3,LD,T3,not declared in workbook,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,"Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
source_workbook,BPE_5slice_mean_T0,BPE,T0,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Pretreatment-only value; still fit every transform on outer train. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
complete4_mri_cohort,BPE_5slice_mean_T0,BPE,T0,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Pretreatment-only value; still fit every transform on outer train. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
mri_matched_reference,BPE_5slice_mean_T0,BPE,T0,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Pretreatment-only value; still fit every transform on outer train. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
source_workbook,BPE_5slice_mean_T1,BPE,T1,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Unavailable before T1; using it earlier is future-visit leakage. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
complete4_mri_cohort,BPE_5slice_mean_T1,BPE,T1,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Unavailable before T1; using it earlier is future-visit leakage. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
mri_matched_reference,BPE_5slice_mean_T1,BPE,T1,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Unavailable before T1; using it earlier is future-visit leakage. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
source_workbook,BPE_5slice_mean_T2,BPE,T2,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Unavailable before T2; using it earlier is future-visit leakage. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
complete4_mri_cohort,BPE_5slice_mean_T2,BPE,T2,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Unavailable before T2; using it earlier is future-visit leakage. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
mri_matched_reference,BPE_5slice_mean_T2,BPE,T2,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Unavailable before T2; using it earlier is future-visit leakage. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
source_workbook,BPE_5slice_mean_T3,BPE,T3,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
complete4_mri_cohort,BPE_5slice_mean_T3,BPE,T3,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
mri_matched_reference,BPE_5slice_mean_T3,BPE,T3,native mean-PE scale; absolute unit not declared in workbook,absolute_measurement,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. BPE is contralateral/global; a lesion-centered MRI crop may not contain its source anatomy.
source_workbook,FTV_pch_T0_T1,FTV,T0→T1,%,derived_baseline_percent_change,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Unavailable before T1; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
complete4_mri_cohort,FTV_pch_T0_T1,FTV,T0→T1,%,derived_baseline_percent_change,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Unavailable before T1; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
mri_matched_reference,FTV_pch_T0_T1,FTV,T0→T1,%,derived_baseline_percent_change,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Unavailable before T1; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
source_workbook,FTV_pch_T0_T2,FTV,T0→T2,%,derived_baseline_percent_change,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Unavailable before T2; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
complete4_mri_cohort,FTV_pch_T0_T2,FTV,T0→T2,%,derived_baseline_percent_change,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Unavailable before T2; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
mri_matched_reference,FTV_pch_T0_T2,FTV,T0→T2,%,derived_baseline_percent_change,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Unavailable before T2; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
source_workbook,FTV_pch_T0_T3,FTV,T0→T3,%,derived_baseline_percent_change,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
complete4_mri_cohort,FTV_pch_T0_T3,FTV,T0→T3,%,derived_baseline_percent_change,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
mri_matched_reference,FTV_pch_T0_T3,FTV,T0→T3,%,derived_baseline_percent_change,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. FTV is tumor-burden/segmentation-derived and can be redundant with ROI mask geometry; fit residualization within outer train.
source_workbook,Sphericity_pch_T0_T1,SPH,T0→T1,%,derived_baseline_percent_change,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Unavailable before T1; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
complete4_mri_cohort,Sphericity_pch_T0_T1,SPH,T0→T1,%,derived_baseline_percent_change,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Unavailable before T1; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
mri_matched_reference,Sphericity_pch_T0_T1,SPH,T0→T1,%,derived_baseline_percent_change,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Unavailable before T1; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
source_workbook,Sphericity_pch_T0_T2,SPH,T0→T2,%,derived_baseline_percent_change,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Unavailable before T2; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
complete4_mri_cohort,Sphericity_pch_T0_T2,SPH,T0→T2,%,derived_baseline_percent_change,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Unavailable before T2; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
mri_matched_reference,Sphericity_pch_T0_T2,SPH,T0→T2,%,derived_baseline_percent_change,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Unavailable before T2; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
source_workbook,Sphericity_pch_T0_T3,SPH,T0→T3,%,derived_baseline_percent_change,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
complete4_mri_cohort,Sphericity_pch_T0_T3,SPH,T0→T3,%,derived_baseline_percent_change,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
mri_matched_reference,Sphericity_pch_T0_T3,SPH,T0→T3,%,derived_baseline_percent_change,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. SPH is derived from FTV-mask geometry and is not independent of FTV/ROI geometry.
source_workbook,LD_pch_T0_T1,LD,T0→T1,%,derived_baseline_percent_change,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,"Unavailable before T1; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
complete4_mri_cohort,LD_pch_T0_T1,LD,T0→T1,%,derived_baseline_percent_change,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,"Unavailable before T1; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
mri_matched_reference,LD_pch_T0_T1,LD,T0→T1,%,derived_baseline_percent_change,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,"Unavailable before T1; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
source_workbook,LD_pch_T0_T2,LD,T0→T2,%,derived_baseline_percent_change,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,"Unavailable before T2; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
complete4_mri_cohort,LD_pch_T0_T2,LD,T0→T2,%,derived_baseline_percent_change,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,"Unavailable before T2; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
mri_matched_reference,LD_pch_T0_T2,LD,T0→T2,%,derived_baseline_percent_change,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,"Unavailable before T2; using it earlier is future-visit leakage. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
source_workbook,LD_pch_T0_T3,LD,T0→T3,%,derived_baseline_percent_change,384,384,0,0,0,1,100,cell_missingness,One source row per workbook patient.,"Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
complete4_mri_cohort,LD_pch_T0_T3,LD,T0→T3,%,derived_baseline_percent_change,808,375,433,0.535891089109,53.5891089109,0.464108910891,46.4108910891,structural_source_unavailability,Exact six-digit-ID overlap with the complete-four-visit MRI cohort.,"Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
mri_matched_reference,LD_pch_T0_T3,LD,T0→T3,%,derived_baseline_percent_change,375,375,0,0,0,1,100,cell_missingness_within_matched_subset,Only exact MRI/radiomics matched patients.,"Unavailable before T3; using it earlier is future-visit leakage. T3 is late/pre-surgery and must be labeled as such. Deterministic from T0 and the endpoint; do not count it as an independent measurement or duplicate a pipeline-derived change feature. LD is another tumor-burden measure; later zero/floor values are valid observations, not missing values."
